employee_id,first_name,last_name,email,phone,date_of_birth,gender,address,city,department,position,hire_date,salary,employment_type,status,manager,notes
EMP0031,First0031,Last0031,emp0031@example.com,0800000031,1989-09-15,male,Addr_0031_HaNoi,HaNoi,Operations,Lead,2025-03-25,829247264.00,contract,resigned,Manager_0031,demo_data
EMP0032,First0032,Last0032,emp0032@example.com,0800000032,2004-09-21,female,Addr_0032_HoChiMinh,HoChiMinh,Finance,Manager,2025-12-03,1796494498.00,intern,terminated,Manager_0032,demo_data
EMP0033,First0033,Last0033,emp0033@example.com,0800000033,2004-09-24,other,Addr_0033_DaNang,DaNang,IT,Analyst,2020-02-19,748818301.00,full-time,active,Manager_0033,demo_data
EMP0034,First0034,Last0034,emp0034@example.com,0800000034,1988-11-08,male,Addr_0034_HaiPhong,HaiPhong,HR,Engineer,2020-07-14,649177212.00,part-time,on-leave,Manager_0034,demo_data
EMP0035,First0035,Last0035,emp0035@example.com,0800000035,1984-10-01,female,Addr_0035_CanTho,CanTho,Support,Specialist,2025-06-01,1096424446.00,contract,resigned,Manager_0035,demo_data
EMP0036,First0036,Last0036,emp0036@example.com,0800000036,1992-05-09,other,Addr_0036_Hue,Hue,Sales,Staff,2025-12-17,1546990625.00,intern,terminated,Manager_0036,demo_data
EMP0037,First0037,Last0037,emp0037@example.com,0800000037,2002-08-31,male,Addr_0037_NhaTrang,NhaTrang,Marketing,Senior,2022-10-09,171404706.00,full-time,active,Manager_0037,demo_data
EMP0038,First0038,Last0038,emp0038@example.com,0800000038,1994-09-11,female,Addr_0038_VungTau,VungTau,Operations,Lead,2025-02-01,1028817485.00,part-time,on-leave,Manager_0038,demo_data
EMP0039,First0039,Last0039,emp0039@example.com,0800000039,1982-05-09,other,Addr_0039_BinhDuong,BinhDuong,Finance,Manager,2017-09-29,146680785.00,contract,resigned,Manager_0039,demo_data
EMP0040,First0040,Last0040,emp0040@example.com,0800000040,1991-09-08,male,Addr_0040_BacNinh,BacNinh,IT,Analyst,2018-01-01,949037697.00,intern,terminated,Manager_0040,demo_data
EMP0041,First0041,Last0041,emp0041@example.com,0800000041,1983-12-04,female,Addr_0041_HaNoi,HaNoi,HR,Engineer,2022-12-03,2044765967.00,full-time,active,Manager_0001,demo_data
EMP0042,First0042,Last0042,emp0042@example.com,0800000042,1981-12-10,other,Addr_0042_HoChiMinh,HoChiMinh,Support,Specialist,2023-06-21,1230305029.00,part-time,on-leave,Manager_0002,demo_data
EMP0043,First0043,Last0043,emp0043@example.com,0800000043,1983-08-06,male,Addr_0043_DaNang,DaNang,Sales,Staff,2024-04-17,185513824.00,contract,resigned,Manager_0003,demo_data
EMP0044,First0044,Last0044,emp0044@example.com,0800000044,1986-04-09,female,Addr_0044_HaiPhong,HaiPhong,Marketing,Senior,2022-06-23,2032229874.00,intern,terminated,Manager_0004,demo_data
EMP0045,First0045,Last0045,emp0045@example.com,0800000045,1996-08-09,other,Addr_0045_CanTho,CanTho,Operations,Lead,2020-04-28,443480744.00,full-time,active,Manager_0005,demo_data
EMP0046,First0046,Last0046,emp0046@example.com,0800000046,1998-03-26,male,Addr_0046_Hue,Hue,Finance,Manager,2015-11-28,1310686626.00,part-time,on-leave,Manager_0006,demo_data
EMP0047,First0047,Last0047,emp0047@example.com,0800000047,2002-11-15,female,Addr_0047_NhaTrang,NhaTrang,IT,Analyst,2024-07-07,1711685080.00,contract,resigned,Manager_0007,demo_data
EMP0048,First0048,Last0048,emp0048@example.com,0800000048,1983-03-05,other,Addr_0048_VungTau,VungTau,HR,Engineer,2016-09-11,570397890.00,intern,terminated,Manager_0008,demo_data
EMP0049,First0049,Last0049,emp0049@example.com,0800000049,1985-12-03,male,Addr_0049_BinhDuong,BinhDuong,Support,Specialist,2024-02-17,222112186.00,full-time,active,Manager_0009,demo_data
EMP0050,First0050,Last0050,emp0050@example.com,0800000050,2003-05-23,female,Addr_0050_BacNinh,BacNinh,Sales,Staff,2024-02-07,1384918563.00,part-time,on-leave,Manager_0010,demo_data
EMP0051,First0051,Last0051,emp0051@example.com,0800000051,1985-07-14,other,Addr_0051_HaNoi,HaNoi,Marketing,Senior,2023-11-28,1736634088.00,contract,resigned,Manager_0011,demo_data
EMP0052,First0052,Last0052,emp0052@example.com,0800000052,1983-12-18,male,Addr_0052_HoChiMinh,HoChiMinh,Operations,Lead,2017-09-12,1343619874.00,intern,terminated,Manager_0012,demo_data
EMP0053,First0053,Last0053,emp0053@example.com,0800000053,2005-08-01,female,Addr_0053_DaNang,DaNang,Finance,Manager,2025-03-26,1537786074.00,full-time,active,Manager_0013,demo_data
EMP0054,First0054,Last0054,emp0054@example.com,0800000054,2003-05-12,other,Addr_0054_HaiPhong,HaiPhong,IT,Analyst,2019-11-24,1570018991.00,part-time,on-leave,Manager_0014,demo_data
EMP0055,First0055,Last0055,emp0055@example.com,0800000055,1982-02-20,male,Addr_0055_CanTho,CanTho,HR,Engineer,2019-06-24,1801585416.00,contract,resigned,Manager_0015,demo_data
EMP0056,First0056,Last0056,emp0056@example.com,0800000056,1998-01-09,female,Addr_0056_Hue,Hue,Support,Specialist,2020-04-08,1186856503.00,intern,terminated,Manager_0016,demo_data
EMP0057,First0057,Last0057,emp0057@example.com,0800000057,2002-11-15,other,Addr_0057_NhaTrang,NhaTrang,Sales,Staff,2024-11-19,961654953.00,full-time,active,Manager_0017,demo_data
EMP0058,First0058,Last0058,emp0058@example.com,0800000058,2003-12-24,male,Addr_0058_VungTau,VungTau,Marketing,Senior,2016-08-22,248568571.00,part-time,on-leave,Manager_0018,demo_data
EMP0059,First0059,Last0059,emp0059@example.com,0800000059,1982-05-26,female,Addr_0059_BinhDuong,BinhDuong,Operations,Lead,2017-09-29,1731349719.00,contract,resigned,Manager_0019,demo_data
EMP0060,First0060,Last0060,emp0060@example.com,0800000060,2002-03-12,other,Addr_0060_BacNinh,BacNinh,Finance,Manager,2020-02-24,2171402880.00,intern,terminated,Manager_0020,demo_data
EMP0061,First0061,Last0061,emp0061@example.com,0800000061,2005-01-06,male,Addr_0061_HaNoi,HaNoi,IT,Analyst,2018-09-05,1009059499.00,full-time,active,Manager_0021,demo_data
EMP0062,First0062,Last0062,emp0062@example.com,0800000062,1982-07-18,female,Addr_0062_HoChiMinh,HoChiMinh,HR,Engineer,2016-07-05,613441635.00,part-time,on-leave,Manager_0022,demo_data
EMP0063,First0063,Last0063,emp0063@example.com,0800000063,1983-08-05,other,Addr_0063_DaNang,DaNang,Support,Specialist,2024-06-21,1092084897.00,contract,resigned,Manager_0023,demo_data
EMP0064,First0064,Last0064,emp0064@example.com,0800000064,2001-12-21,male,Addr_0064_HaiPhong,HaiPhong,Sales,Staff,2020-01-01,154698109.00,intern,terminated,Manager_0024,demo_data
EMP0065,First0065,Last0065,emp0065@example.com,0800000065,1999-03-22,female,Addr_0065_CanTho,CanTho,Marketing,Senior,2020-05-12,840366858.00,full-time,active,Manager_0025,demo_data
EMP0066,First0066,Last0066,emp0066@example.com,0800000066,2001-01-13,other,Addr_0066_Hue,Hue,Operations,Lead,2020-10-05,1473853555.00,part-time,on-leave,Manager_0026,demo_data
EMP0067,First0067,Last0067,emp0067@example.com,0800000067,1996-12-22,male,Addr_0067_NhaTrang,NhaTrang,Finance,Manager,2020-12-28,1274325899.00,contract,resigned,Manager_0027,demo_data
EMP0068,First0068,Last0068,emp0068@example.com,0800000068,1984-01-20,female,Addr_0068_VungTau,VungTau,IT,Analyst,2017-10-28,1190241956.00,intern,terminated,Manager_0028,demo_data
EMP0069,First0069,Last0069,emp0069@example.com,0800000069,2000-03-09,other,Addr_0069_BinhDuong,BinhDuong,HR,Engineer,2024-03-07,481492519.00,full-time,active,Manager_0029,demo_data
EMP0070,First0070,Last0070,emp0070@example.com,0800000070,1985-12-15,male,Addr_0070_BacNinh,BacNinh,Support,Specialist,2016-04-27,2042503668.00,part-time,on-leave,Manager_0030,demo_data
EMP0071,First0071,Last0071,emp0071@example.com,0800000071,1982-07-02,female,Addr_0071_HaNoi,HaNoi,Sales,Staff,2018-11-22,1608787360.00,contract,resigned,Manager_0031,demo_data
EMP0072,First0072,Last0072,emp0072@example.com,0800000072,1994-09-12,other,Addr_0072_HoChiMinh,HoChiMinh,Marketing,Senior,2020-02-24,1504597121.00,intern,terminated,Manager_0032,demo_data
EMP0073,First0073,Last0073,emp0073@example.com,0800000073,2004-09-27,male,Addr_0073_DaNang,DaNang,Operations,Lead,2021-09-10,388809934.00,full-time,active,Manager_0033,demo_data
EMP0074,First0074,Last0074,emp0074@example.com,0800000074,1993-02-01,female,Addr_0074_HaiPhong,HaiPhong,Finance,Manager,2020-01-28,1534346885.00,part-time,on-leave,Manager_0034,demo_data
EMP0075,First0075,Last0075,emp0075@example.com,0800000075,1990-12-15,other,Addr_0075_CanTho,CanTho,IT,Analyst,2021-04-24,1407573458.00,contract,resigned,Manager_0035,demo_data
EMP0076,First0076,Last0076,emp0076@example.com,0800000076,1983-06-29,male,Addr_0076_Hue,Hue,HR,Engineer,2016-07-16,1621352890.00,intern,terminated,Manager_0036,demo_data
EMP0077,First0077,Last0077,emp0077@example.com,0800000077,1996-01-04,female,Addr_0077_NhaTrang,NhaTrang,Support,Specialist,2020-08-08,2142620919.00,full-time,active,Manager_0037,demo_data
EMP0078,First0078,Last0078,emp0078@example.com,0800000078,1983-11-20,other,Addr_0078_VungTau,VungTau,Sales,Staff,2020-06-07,704060986.00,part-time,on-leave,Manager_0038,demo_data
EMP0079,First0079,Last0079,emp0079@example.com,0800000079,1981-03-05,male,Addr_0079_BinhDuong,BinhDuong,Marketing,Senior,2024-06-13,1530589450.00,contract,resigned,Manager_0039,demo_data
EMP0080,First0080,Last0080,emp0080@example.com,0800000080,1980-09-17,female,Addr_0080_BacNinh,BacNinh,Operations,Lead,2022-02-08,816684607.00,intern,terminated,Manager_0040,demo_data
EMP0081,First0081,Last0081,emp0081@example.com,0800000081,1997-12-24,other,Addr_0081_HaNoi,HaNoi,Finance,Manager,2021-01-08,852658743.00,full-time,active,Manager_0001,demo_data
EMP0082,First0082,Last0082,emp0082@example.com,0800000082,2001-01-16,male,Addr_0082_HoChiMinh,HoChiMinh,IT,Analyst,2023-03-22,2131585215.00,part-time,on-leave,Manager_0002,demo_data
EMP0083,First0083,Last0083,emp0083@example.com,0800000083,1997-07-21,female,Addr_0083_DaNang,DaNang,HR,Engineer,2015-10-02,1484685545.00,contract,resigned,Manager_0003,demo_data
EMP0084,First0084,Last0084,emp0084@example.com,0800000084,1989-04-04,other,Addr_0084_HaiPhong,HaiPhong,Support,Specialist,2015-01-30,366502021.00,intern,terminated,Manager_0004,demo_data
EMP0085,First0085,Last0085,emp0085@example.com,0800000085,2004-07-15,male,Addr_0085_CanTho,CanTho,Sales,Staff,2020-04-02,1848404102.00,full-time,active,Manager_0005,demo_data
EMP0086,First0086,Last0086,emp0086@example.com,0800000086,2005-06-19,female,Addr_0086_Hue,Hue,Marketing,Senior,2022-04-25,2005979876.00,part-time,on-leave,Manager_0006,demo_data
EMP0087,First0087,Last0087,emp0087@example.com,0800000087,1987-07-19,other,Addr_0087_NhaTrang,NhaTrang,Operations,Lead,2022-01-28,729358293.00,contract,resigned,Manager_0007,demo_data
EMP0088,First0088,Last0088,emp0088@example.com,0800000088,1999-04-25,male,Addr_0088_VungTau,VungTau,Finance,Manager,2018-09-27,1271513464.00,intern,terminated,Manager_0008,demo_data
EMP0089,First0089,Last0089,emp0089@example.com,0800000089,2003-08-08,female,Addr_0089_BinhDuong,BinhDuong,IT,Analyst,2019-06-07,392469323.00,full-time,active,Manager_0009,demo_data
EMP0090,First0090,Last0090,emp0090@example.com,0800000090,1997-06-08,other,Addr_0090_BacNinh,BacNinh,HR,Engineer,2025-02-18,2007788718.00,part-time,on-leave,Manager_0010,demo_data
EMP0091,First0091,Last0091,emp0091@example.com,0800000091,1990-07-20,male,Addr_0091_HaNoi,HaNoi,Support,Specialist,2019-10-17,909950954.00,contract,resigned,Manager_0011,demo_data
EMP0092,First0092,Last0092,emp0092@example.com,0800000092,2004-12-24,female,Addr_0092_HoChiMinh,HoChiMinh,Sales,Staff,2017-05-03,1219126848.00,intern,terminated,Manager_0012,demo_data
EMP0093,First0093,Last0093,emp0093@example.com,0800000093,1988-07-03,other,Addr_0093_DaNang,DaNang,Marketing,Senior,2020-12-28,1617867669.00,full-time,active,Manager_0013,demo_data
EMP0094,First0094,Last0094,emp0094@example.com,0800000094,1985-05-12,male,Addr_0094_HaiPhong,HaiPhong,Operations,Lead,2020-02-25,566523078.00,part-time,on-leave,Manager_0014,demo_data
EMP0095,First0095,Last0095,emp0095@example.com,0800000095,1997-02-13,female,Addr_0095_CanTho,CanTho,Finance,Manager,2021-07-20,661548484.00,contract,resigned,Manager_0015,demo_data
EMP0096,First0096,Last0096,emp0096@example.com,0800000096,1999-09-14,other,Addr_0096_Hue,Hue,IT,Analyst,2022-08-19,1466450441.00,intern,terminated,Manager_0016,demo_data
EMP0097,First0097,Last0097,emp0097@example.com,0800000097,1981-06-12,male,Addr_0097_NhaTrang,NhaTrang,HR,Engineer,2016-08-15,1143582606.00,full-time,active,Manager_0017,demo_data
EMP0098,First0098,Last0098,emp0098@example.com,0800000098,1991-02-16,female,Addr_0098_VungTau,VungTau,Support,Specialist,2024-12-11,1817432615.00,part-time,on-leave,Manager_0018,demo_data
EMP0099,First0099,Last0099,emp0099@example.com,0800000099,1993-07-24,other,Addr_0099_BinhDuong,BinhDuong,Sales,Staff,2022-11-04,1006042556.00,contract,resigned,Manager_0019,demo_data
EMP0100,First0100,Last0100,emp0100@example.com,0800000100,1999-05-20,male,Addr_0100_BacNinh,BacNinh,Marketing,Senior,2016-11-02,2049032635.00,intern,terminated,Manager_0020,demo_data
EMP0101,First0101,Last0101,emp0101@example.com,0800000101,1989-09-12,female,Addr_0101_HaNoi,HaNoi,Operations,Lead,2018-09-22,1981308196.00,full-time,active,Manager_0021,demo_data
EMP0102,First0102,Last0102,emp0102@example.com,0800000102,1996-11-01,other,Addr_0102_HoChiMinh,HoChiMinh,Finance,Manager,2015-05-06,2143497702.00,part-time,on-leave,Manager_0022,demo_data
EMP0103,First0103,Last0103,emp0103@example.com,0800000103,1980-01-18,male,Addr_0103_DaNang,DaNang,IT,Analyst,2018-09-22,90823506.00,contract,resigned,Manager_0023,demo_data
EMP0104,First0104,Last0104,emp0104@example.com,0800000104,1990-04-25,female,Addr_0104_HaiPhong,HaiPhong,HR,Engineer,2021-07-01,460481199.00,intern,terminated,Manager_0024,demo_data
EMP0105,First0105,Last0105,emp0105@example.com,0800000105,1981-05-17,other,Addr_0105_CanTho,CanTho,Support,Specialist,2016-10-21,632930860.00,full-time,active,Manager_0025,demo_data
EMP0106,First0106,Last0106,emp0106@example.com,0800000106,1989-08-15,male,Addr_0106_Hue,Hue,Sales,Staff,2025-11-07,335678056.00,part-time,on-leave,Manager_0026,demo_data
EMP0107,First0107,Last0107,emp0107@example.com,0800000107,1981-08-14,female,Addr_0107_NhaTrang,NhaTrang,Marketing,Senior,2015-02-22,423406935.00,contract,resigned,Manager_0027,demo_data
EMP0108,First0108,Last0108,emp0108@example.com,0800000108,2003-08-21,other,Addr_0108_VungTau,VungTau,Operations,Lead,2022-12-09,1132478675.00,intern,terminated,Manager_0028,demo_data
EMP0109,First0109,Last0109,emp0109@example.com,0800000109,1985-06-18,male,Addr_0109_BinhDuong,BinhDuong,Finance,Manager,2017-10-02,2203234686.00,full-time,active,Manager_0029,demo_data
EMP0110,First0110,Last0110,emp0110@example.com,0800000110,1998-01-13,female,Addr_0110_BacNinh,BacNinh,IT,Analyst,2022-06-29,460100969.00,part-time,on-leave,Manager_0030,demo_data
EMP0111,First0111,Last0111,emp0111@example.com,0800000111,1991-08-22,other,Addr_0111_HaNoi,HaNoi,HR,Engineer,2019-09-23,2121390703.00,contract,resigned,Manager_0031,demo_data
EMP0112,First0112,Last0112,emp0112@example.com,0800000112,1986-06-24,male,Addr_0112_HoChiMinh,HoChiMinh,Support,Specialist,2017-02-04,983313502.00,intern,terminated,Manager_0032,demo_data
EMP0113,First0113,Last0113,emp0113@example.com,0800000113,1999-03-16,female,Addr_0113_DaNang,DaNang,Sales,Staff,2018-08-03,1532795492.00,full-time,active,Manager_0033,demo_data
EMP0114,First0114,Last0114,emp0114@example.com,0800000114,2001-08-09,other,Addr_0114_HaiPhong,HaiPhong,Marketing,Senior,2017-10-17,1212934712.00,part-time,on-leave,Manager_0034,demo_data
EMP0115,First0115,Last0115,emp0115@example.com,0800000115,2001-04-10,male,Addr_0115_CanTho,CanTho,Operations,Lead,2024-10-11,2074043670.00,contract,resigned,Manager_0035,demo_data
EMP0116,First0116,Last0116,emp0116@example.com,0800000116,2001-07-02,female,Addr_0116_Hue,Hue,Finance,Manager,2022-05-15,976674471.00,intern,terminated,Manager_0036,demo_data
EMP0117,First0117,Last0117,emp0117@example.com,0800000117,2000-03-02,other,Addr_0117_NhaTrang,NhaTrang,IT,Analyst,2015-12-08,1652417025.00,full-time,active,Manager_0037,demo_data
EMP0118,First0118,Last0118,emp0118@example.com,0800000118,1985-01-20,male,Addr_0118_VungTau,VungTau,HR,Engineer,2015-05-18,123088890.00,part-time,on-leave,Manager_0038,demo_data
EMP0119,First0119,Last0119,emp0119@example.com,0800000119,2002-03-05,female,Addr_0119_BinhDuong,BinhDuong,Support,Specialist,2024-07-26,735627652.00,contract,resigned,Manager_0039,demo_data
EMP0120,First0120,Last0120,emp0120@example.com,0800000120,1983-10-20,other,Addr_0120_BacNinh,BacNinh,Sales,Staff,2019-01-28,1547658961.00,intern,terminated,Manager_0040,demo_data
EMP0121,First0121,Last0121,emp0121@example.com,0800000121,2005-07-09,male,Addr_0121_HaNoi,HaNoi,Marketing,Senior,2017-10-13,1459854667.00,full-time,active,Manager_0001,demo_data
EMP0122,First0122,Last0122,emp0122@example.com,0800000122,2005-01-21,female,Addr_0122_HoChiMinh,HoChiMinh,Operations,Lead,2016-07-27,1008104952.00,part-time,on-leave,Manager_0002,demo_data
EMP0123,First0123,Last0123,emp0123@example.com,0800000123,1998-04-13,other,Addr_0123_DaNang,DaNang,Finance,Manager,2016-02-21,1278614377.00,contract,resigned,Manager_0003,demo_data
EMP0124,First0124,Last0124,emp0124@example.com,0800000124,2005-01-03,male,Addr_0124_HaiPhong,HaiPhong,IT,Analyst,2019-11-27,1830842981.00,intern,terminated,Manager_0004,demo_data
EMP0125,First0125,Last0125,emp0125@example.com,0800000125,1998-04-08,female,Addr_0125_CanTho,CanTho,HR,Engineer,2024-03-04,924926637.00,full-time,active,Manager_0005,demo_data
EMP0126,First0126,Last0126,emp0126@example.com,0800000126,2005-05-20,other,Addr_0126_Hue,Hue,Support,Specialist,2023-03-06,1462851252.00,part-time,on-leave,Manager_0006,demo_data
EMP0127,First0127,Last0127,emp0127@example.com,0800000127,1987-10-05,male,Addr_0127_NhaTrang,NhaTrang,Sales,Staff,2020-11-14,2073400512.00,contract,resigned,Manager_0007,demo_data
EMP0128,First0128,Last0128,emp0128@example.com,0800000128,1980-02-12,female,Addr_0128_VungTau,VungTau,Marketing,Senior,2020-03-06,2025087008.00,intern,terminated,Manager_0008,demo_data
EMP0129,First0129,Last0129,emp0129@example.com,0800000129,1993-08-17,other,Addr_0129_BinhDuong,BinhDuong,Operations,Lead,2017-11-21,813736047.00,full-time,active,Manager_0009,demo_data
EMP0130,First0130,Last0130,emp0130@example.com,0800000130,1995-08-29,male,Addr_0130_BacNinh,BacNinh,Finance,Manager,2016-07-05,78292659.00,part-time,on-leave,Manager_0010,demo_data
EMP0131,First0131,Last0131,emp0131@example.com,0800000131,1980-09-21,female,Addr_0131_HaNoi,HaNoi,IT,Analyst,2025-07-15,513048830.00,contract,resigned,Manager_0011,demo_data
EMP0132,First0132,Last0132,emp0132@example.com,0800000132,1993-10-12,other,Addr_0132_HoChiMinh,HoChiMinh,HR,Engineer,2016-08-24,1711559561.00,intern,terminated,Manager_0012,demo_data
EMP0133,First0133,Last0133,emp0133@example.com,0800000133,1980-07-27,male,Addr_0133_DaNang,DaNang,Support,Specialist,2019-08-14,1833016473.00,full-time,active,Manager_0013,demo_data
EMP0134,First0134,Last0134,emp0134@example.com,0800000134,2005-01-10,female,Addr_0134_HaiPhong,HaiPhong,Sales,Staff,2024-11-24,1417143550.00,part-time,on-leave,Manager_0014,demo_data
EMP0135,First0135,Last0135,emp0135@example.com,0800000135,1991-11-22,other,Addr_0135_CanTho,CanTho,Marketing,Senior,2019-05-10,369230746.00,contract,resigned,Manager_0015,demo_data
EMP0136,First0136,Last0136,emp0136@example.com,0800000136,2004-06-19,male,Addr_0136_Hue,Hue,Operations,Lead,2020-02-26,1741112418.00,intern,terminated,Manager_0016,demo_data
EMP0137,First0137,Last0137,emp0137@example.com,0800000137,1987-08-16,female,Addr_0137_NhaTrang,NhaTrang,Finance,Manager,2023-12-03,846578547.00,full-time,active,Manager_0017,demo_data
EMP0138,First0138,Last0138,emp0138@example.com,0800000138,1982-06-16,other,Addr_0138_VungTau,VungTau,IT,Analyst,2019-08-01,1682720708.00,part-time,on-leave,Manager_0018,demo_data
EMP0139,First0139,Last0139,emp0139@example.com,0800000139,1996-06-27,male,Addr_0139_BinhDuong,BinhDuong,HR,Engineer,2021-12-03,1113905440.00,contract,resigned,Manager_0019,demo_data
EMP0140,First0140,Last0140,emp0140@example.com,0800000140,2000-03-09,female,Addr_0140_BacNinh,BacNinh,Support,Specialist,2024-01-06,2059287062.00,intern,terminated,Manager_0020,demo_data
EMP0141,First0141,Last0141,emp0141@example.com,0800000141,1988-03-04,other,Addr_0141_HaNoi,HaNoi,Sales,Staff,2022-05-02,1199329427.00,full-time,active,Manager_0021,demo_data
